CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Risk_Score,Attrition_Confidence_Score,R_score,M_score,F_score,Cus_Segmentation,Risk_Status,CLV
708082083,0,45,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544,1661,1883,0.830999970436096,15149,111,0.734000027179718,0.46900001168251,0.000305160006973892,0.999689996242523,High Recency,High Monetary,High Frequency,Best Customers,NORMAL,545364.00
708083283,1,58,M,0,Not_Specified,Single,$40K - $60K,Blue,45,3,1,3,3421,2517,904,0.991999983787537,992,21,0.400000005960464,0.736000001430511,0.98869001865387,0.0113099999725819,High Recency,Low Monetary,Low Frequency,NULL,NORMAL,44640.00
708084558,1,46,M,3,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,3,8258,1771,6487,0,1447,23,0,0.214000001549721,0.99779999256134,0.00219584000296891,High Recency,Low Monetary,Low Frequency,NULL,NORMAL,54986.00
708085458,0,34,F,2,Uneducated,Single,Less than $40K,Blue,24,6,2,2,1438.30004882813,0,1438.30004882813,0.827000021934509,3940,82,0.952000021934509,0,0.000117030002002139,0.999880015850067,Low Recency,Low Monetary,High Frequency,NULL,NORMAL,94560.00
708086958,0,49,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128,749,2379,0.59799998998642,4369,59,0.735000014305115,0.238999992609024,0.000206559998332523,0.999790012836456,High Recency,Low Monetary,Low Frequency,NULL,NORMAL,179129.00
708095133,0,43,M,4,Not_Specified,Unknown,$120K +,Blue,34,5,2,2,33304,1833,31471,0.428000003099442,1448,29,0.381000012159348,0.0549999997019768,0.000131210006657057,0.999870002269745,Low Recency,Low Monetary,Low Frequency,At Risk Customers,NORMAL,49232.00
708098133,0,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834,1418,1416,1.45799994468689,1598,39,0.773000001907349,0.5,1.74340002558893E-05,0.999979972839355,Low Recency,Low Monetary,Low Frequency,At Risk Customers,NORMAL,30362.00
708099183,0,37,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,5723,1873,3850,0.851000010967255,2732,63,0.852999985218048,0.326999992132187,0.000110649998532608,0.999890029430389,High Recency,Low Monetary,Low Frequency,NULL,NORMAL,98352.00
708100533,0,55,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679,2277,402,0.736000001430511,4943,85,0.735000014305115,0.850000023841858,0.000305190013023093,0.999689996242523,High Recency,High Monetary,High Frequency,Best Customers,High Risk,177948.00
708103608,0,52,M,1,High School,Single,$60K - $80K,Blue,45,1,5,1,11898,2517,9381,0.745000004768372,15798,128,0.730000019073486,0.211999997496605,0.000110560002212878,0.999890029430389,High Recency,High Monetary,High Frequency,Best Customers,NORMAL,710910.00
708104658,0,46,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438.30004882813,890,548.299987792969,1.14300000667572,2928,48,1.39999997615814,0.619000017642975,0.000168829996255226,0.999830007553101,High Recency,Low Monetary,Low Frequency,NULL,NORMAL,105408.00
708108333,1,47,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590,0,5590,0.00999999977648258,1507,32,0,0,0.991199970245361,0.00879999995231628,High Recency,Low Monetary,Low Frequency,NULL,NORMAL,54252.00
