CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Risk_Score,Attrition_Confidence_Score,R_score,M_score,F_score,Cus_Segmentation,Risk_Status,CLV,Risk_Score,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Not_Specified,Education_Level_Post-Graduate,Education_Level_Uneducated,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Cluster,Customer_Segment
708082083,0,0.4042553191489362,3,36,4,3,3,0.0636592010411918,0.6599125943583631,1883.0,0.830999970436096,0.8144542116390341,0.7829457364341087,0.734000027179718,0.46946947511339027,0.0003051600069738,0.999689996242523,High Recency,High Monetary,High Frequency,Best Customers,NORMAL,545364.0,High Risk,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1,At Risk
708083283,1,0.6808510638297873,0,45,3,1,3,0.059940683726458055,1.0,904.0,0.991999983787537,0.026816512740625343,0.08527131782945739,0.400000005960464,0.7367367286739922,0.98869001865387,0.0113099999725819,High Recency,Low Monetary,Low Frequency,,NORMAL,44640.0,Low Risk,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,1,At Risk
708084558,1,0.4255319148936171,3,38,6,3,3,0.2061721329245646,0.7036154151767978,6487.0,0.0,0.05213085568042729,0.10077519379844962,0.0,0.21421421300480284,0.99779999256134,0.0021958400029689,High Recency,Low Monetary,Low Frequency,,NORMAL,54986.0,Very Low Risk,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,At Risk
708085458,0,0.17021276595744675,2,24,6,2,2,0.0,0.0,1438.30004882813,0.827000021934509,0.19083120062312228,0.558139534883721,0.952000021934509,0.0,0.0001170300020021,0.999880015850067,Low Recency,Low Monetary,High Frequency,,NORMAL,94560.0,High Risk,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,2,Average
708086958,0,0.4893617021276597,2,41,3,5,2,0.05108275223688906,0.29757647993643227,2379.0,0.59799998998642,0.21469900968064984,0.3798449612403102,0.735000014305115,0.2392392287576716,0.0002065599983325,0.999790012836456,High Recency,Low Monetary,Low Frequency,,NORMAL,179129.0,Medium Risk,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,2,Average
708095133,0,0.3617021276595745,4,34,5,2,2,0.9633590001182334,0.7282479141835518,31471.0,0.428000003099442,0.0521864915989763,0.1472868217054264,0.381000012159348,0.055055054047212046,0.000131210006657,0.999870002269745,Low Recency,Low Monetary,Low Frequency,At Risk Customers,NORMAL,49232.0,Very Low Risk,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0,High Value
708098133,0,0.1276595744680851,0,19,6,1,0,0.042194588899232804,0.5633690901867302,1416.0,1.45799994468689,0.06053187938132859,0.22480620155038764,0.773000001907349,0.5005004940503052,1.74340002558893e-05,0.999979972839355,Low Recency,Low Monetary,Low Frequency,At Risk Customers,NORMAL,30362.0,High Risk,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1,At Risk
708099183,0,0.23404255319148942,2,36,4,2,2,0.12953439802334482,0.744139849026619,3850.0,0.851000010967255,0.12362301101591186,0.41085271317829464,0.852999985218048,0.327327315233211,0.0001106499985326,0.999890029430389,High Recency,Low Monetary,Low Frequency,,NORMAL,98352.0,Medium Risk,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1,At Risk
708100533,0,0.6170212765957448,3,36,3,3,3,0.037508652445706545,0.9046483909415971,402.0,0.736000001430511,0.24663402692778458,0.5813953488372093,0.735000014305115,0.8508508637512422,0.000305190013023,0.999689996242523,High Recency,High Monetary,High Frequency,Best Customers,High Risk,177948.0,High Risk,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1,At Risk
708103608,0,0.5531914893617023,1,45,1,5,1,0.31621605996221347,1.0,9381.0,0.745000004768372,0.850561922777345,0.9147286821705428,0.730000019073486,0.21221220697142854,0.0001105600022128,0.999890029430389,High Recency,High Monetary,High Frequency,Best Customers,NORMAL,710910.0,Low Risk,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0,High Value
708104658,0,0.4255319148936171,1,36,4,3,2,0.0,0.35359555025824396,548.299987792969,1.14300000667572,0.13452765105151887,0.29457364341085274,1.39999997615814,0.6196196292949132,0.0001688299962552,0.999830007553101,High Recency,Low Monetary,Low Frequency,,NORMAL,105408.0,Low Risk,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1,At Risk
708108333,1,0.44680851063829796,3,36,3,3,1,0.1255135622277384,0.0,5590.0,0.0099999997764825,0.055469010793368204,0.17054263565891475,0.0,0.0,0.991199970245361,0.0087999999523162,High Recency,Low Monetary,Low Frequency,,NORMAL,54252.0,Medium Risk,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,2,Average
708112008,0,0.6382978723404256,2,36,4,2,3,0.6672682799515485,0.4167659912594358,22461.0,0.437999993562698,0.06403694224991655,0.19379844961240314,0.296000003814697,0.045045046254456676,0.0001914299937197,0.999809980392456,High Recency,Low Monetary,Low Frequency,,NORMAL,59796.0,Very Low Risk,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0,High Value
708113208,0,0.574468085106383,1,36,3,2,2,0.007548890991225757,0.0,1688.0,0.640999972820282,0.21503282519194392,0.45736434108527135,0.605000019073486,0.0,0.0001038600021274,0.999899983406067,High Recency,Low Monetary,High Frequency,Loyal Customers,NORMAL,157500.0,High Risk,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2,Average
708117933,1,0.38297872340425543,2,36,3,2,3,0.013353405823980861,0.0,1880.0,0.518999993801117,0.10899076443752087,0.18604651162790703,0.416999995708466,0.0,0.994799971580505,0.0052000000141561,High Recency,Low Monetary,Low Frequency,,NORMAL,88884.0,High Risk,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,Average
708119658,0,0.4893617021276597,4,38,4,2,1,0.3445735334680692,0.41080651569328563,11802.0,0.662999987602234,0.11177256036497163,0.3333333333333334,0.472000002861023,0.0810810802748067,7.1987000410445e-05,0.999930024147034,High Recency,Low Monetary,Low Frequency,,NORMAL,95722.0,Low Risk,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,2,Average
708121908,1,0.46808510638297873,4,36,2,3,2,0.6493407940357996,0.0,22917.0,0.574000000953674,0.08540113497273841,0.27131782945736443,0.5,0.0,0.995199978351593,0.0047986297868192,High Recency,Low Monetary,Low Frequency,,NORMAL,73620.0,Very Low Risk,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,2,Average
708123033,0,0.3191489361702127,3,30,2,1,1,0.3030652060442527,0.0,11463.0,0.907999992370605,0.7789584956047624,0.7364341085271319,0.721000015735626,0.0,3.11410003632773e-05,0.999970018863678,Low Recency,High Monetary,High Frequency,Potential Churn Risk,NORMAL,435330.0,Medium Risk,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,2,Average
708125733,0,0.4255319148936171,2,36,4,3,1,0.0,0.0,1438.30004882813,0.906000018119812,0.21147212640480695,0.5193798449612403,0.833000004291534,0.0,0.0001054599997587,0.999890029430389,High Recency,Low Monetary,High Frequency,Loyal Customers,NORMAL,155196.0,High Risk,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,Average
708128733,0,0.5106382978723405,3,36,5,4,3,0.011358103850221297,0.0,1814.0,0.851999998092651,0.25058417714476466,0.6899224806201552,0.623000025749207,0.0,0.0004463400109671,0.999549984931946,High Recency,High Monetary,High Frequency,Best Customers,NORMAL,180504.0,Medium Risk,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,2,Average
708129933,0,0.4042553191489362,4,36,5,3,2,0.019157920656735966,0.6134286849423918,528.0,0.902999997138977,0.2058528986313564,0.4186046511627908,0.939000010490417,0.7457457409080999,0.0001886399986688,0.999809980392456,High Recency,Low Monetary,Low Frequency,,High Risk,151560.0,High Risk,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1,At Risk
708132783,0,0.44680851063829796,3,42,6,2,2,0.4526523903800458,0.4684147794994041,15232.0,0.848999977111816,0.1902192055190831,0.47286821705426363,0.73199999332428,0.07207206804069993,0.0001214400035678,0.999880015850067,High Recency,Low Monetary,High Frequency,Loyal Customers,NORMAL,165018.0,Medium Risk,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0,High Value
708134283,0,0.19148936170212766,2,36,4,3,3,0.05117344778115086,0.24990067540723082,2502.0,0.749000012874603,0.05413374874819184,0.16279069767441862,0.632000029087067,0.20120120362002442,0.0003110399993602,0.999689996242523,High Recency,Low Monetary,Low Frequency,,NORMAL,53388.0,High Risk,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,2,Average
708136908,0,0.7659574468085107,0,53,5,2,2,0.03560404601620877,0.3182359952324195,1815.0,0.718999981880188,0.23061088238566818,0.4496124031007753,0.510999977588654,0.30630629663101305,9.76730007096194e-05,0.999899983406067,High Recency,High Monetary,High Frequency,Best Customers,NORMAL,246715.0,High Risk,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2,Average
