708082083,High Frequency,High Monetary,Best Customers
708083283,Low Frequency,Low Monetary,NULL
708084558,Low Frequency,Low Monetary,NULL
708085458,High Frequency,Low Monetary,NULL
708086958,Low Frequency,Low Monetary,NULL
708095133,Low Frequency,Low Monetary,At Risk Customers
708098133,Low Frequency,Low Monetary,At Risk Customers
708099183,Low Frequency,Low Monetary,NULL
708100533,High Frequency,High Monetary,Best Customers
708103608,High Frequency,High Monetary,Best Customers
708104658,Low Frequency,Low Monetary,NULL
708108333,Low Frequency,Low Monetary,NULL
708112008,Low Frequency,Low Monetary,NULL
708113208,High Frequency,Low Monetary,Loyal Customers
708117933,Low Frequency,Low Monetary,NULL
708119658,Low Frequency,Low Monetary,NULL
708121908,Low Frequency,Low Monetary,NULL
708123033,High Frequency,High Monetary,Potential Churn Risk
708125733,High Frequency,Low Monetary,Loyal Customers
708128733,High Frequency,High Monetary,Best Customers
708129933,Low Frequency,Low Monetary,NULL
708132783,High Frequency,Low Monetary,Loyal Customers
708134283,Low Frequency,Low Monetary,NULL
708136908,High Frequency,High Monetary,Best Customers
708139833,Low Frequency,Low Monetary,At Risk Customers
708145908,High Frequency,Low Monetary,Loyal Customers
708147108,High Frequency,Low Monetary,Loyal Customers
708148158,High Frequency,Low Monetary,NULL
708151008,Low Frequency,Low Monetary,NULL
708152358,Low Frequency,High Monetary,Big Spenders
708153558,High Frequency,High Monetary,Potential Churn Risk
708154833,Low Frequency,Low Monetary,At Risk Customers
708155733,Low Frequency,Low Monetary,NULL
708158133,Low Frequency,Low Monetary,NULL
708160008,High Frequency,High Monetary,Potential Churn Risk
708161133,High Frequency,Low Monetary,NULL
708162558,Low Frequency,Low Monetary,NULL
708163758,High Frequency,High Monetary,Potential Churn Risk
708170508,Low Frequency,Low Monetary,NULL
708171858,Low Frequency,Low Monetary,At Risk Customers
708173433,Low Frequency,Low Monetary,At Risk Customers
708174708,Low Frequency,Low Monetary,At Risk Customers
708176208,High Frequency,Low Monetary,Loyal Customers
708177333,Low Frequency,Low Monetary,NULL
708178608,High Frequency,Low Monetary,Loyal Customers
708185208,Low Frequency,Low Monetary,At Risk Customers
708186933,Low Frequency,Low Monetary,NULL
708190158,Low Frequency,Low Monetary,At Risk Customers
708193008,Low Frequency,Low Monetary,At Risk Customers
708195633,Low Frequency,Low Monetary,At Risk Customers
708197358,Low Frequency,High Monetary,Big Spenders
708204033,High Frequency,Low Monetary,NULL
708205083,High Frequency,High Monetary,Potential Churn Risk
708207783,High Frequency,High Monetary,Best Customers
708208758,Low Frequency,Low Monetary,NULL
708211383,High Frequency,Low Monetary,NULL
708212658,Low Frequency,Low Monetary,At Risk Customers
708216108,Low Frequency,Low Monetary,NULL
708217758,Low Frequency,Low Monetary,NULL
708219108,High Frequency,High Monetary,Best Customers
708219858,High Frequency,Low Monetary,NULL
708222558,High Frequency,Low Monetary,Loyal Customers
708223383,Low Frequency,Low Monetary,NULL
708224133,High Frequency,High Monetary,Best Customers
708225483,High Frequency,Low Monetary,Loyal Customers
708226833,High Frequency,High Monetary,Best Customers
