$60K - $80K,Gold,29
Less than $40K,Gold,24
$60K - $80K,Platinum,4
Unknown,Silver,53
$60K - $80K,Blue,1273
Less than $40K,Blue,3403
Unknown,Platinum,5
Unknown,Blue,1045
$120K +,Blue,645
$80K - $120K,Silver,117
$40K - $60K,Platinum,1
Less than $40K,Platinum,4
$120K +,Platinum,4
$40K - $60K,Silver,99
$80K - $120K,Gold,21
$60K - $80K,Silver,96
$40K - $60K,Gold,15
Unknown,Gold,9
Less than $40K,Silver,130
$120K +,Silver,60
$80K - $120K,Platinum,2
$120K +,Gold,18
$80K - $120K,Blue,1395
$40K - $60K,Blue,1675
